UT,ID,AZ,OK,MS,NC,TN,FL,NV,TX,SD,AL,CO,NM,GA,AR,IN,KY,KS,SC,MO,OR,LA,IA,WV,MT,VA,WI,CA,WA,MI,OH,NE,MN,ME,ND,HI,IL,MD,DE,NH,PA,RI,MA,AK,VT,NJ,CT,D.C.,NY
2.2994574,2.0420039,1.2075669,1.0640227,2.6479049,1.2021291,1.2129383,0.9207739,0.4200920,1.0355510,0.8318433,1.2954017,1.5680881,2.2381230,1.3950103,1.1215722,0.7899224,2.1270262,0.9721999,0.8689713,0.0000000,1.5001037,1.4705948,1.7885747,1.4610678,0.9614894,2.3022489,1.4906968,2.4293872,1.7023784,0.6530308,1.4685693,1.8654126,2.3216268,2.5717542,2.2280256,2.3459317,1.4177394,2.1214470,1.9506462,3.2015658,2.0709831,2.3199306,2.4710638,3.8235873,3.2292540,3.3376729,3.5897228,7.5251326,3.8050209
1.9152603,1.2418557,1.7170397,1.5515611,1.9442301,0.8500028,2.3136035,0.9225499,1.7343206,1.3542797,1.3402515,1.7482592,1.7162252,3.2468692,0.8911099,1.7855762,0.9048095,0.9558817,1.3158183,1.4097563,1.5001037,0.0000000,1.9975485,1.4772580,0.7618982,0.6970617,1.7213322,1.1737844,2.3353597,1.4155734,1.0240335,0.6132256,1.6336281,1.8993017,1.3581537,1.9065854,1.9236191,1.6946941,2.6792632,2.3191837,2.8070371,1.7251147,1.5499227,2.4962963,4.5818748,2.5572038,2.9649320,3.2706590,8.2722291,3.6322496
3.4469619,2.8296128,1.2136683,1.5895475,1.9661640,1.5719733,1.0221200,1.5498221,1.5955438,1.3526222,2.1084171,0.7353235,2.8495709,1.4051034,1.3150582,0.6844053,1.8274647,2.0050188,2.2844202,0.8731207,1.4705948,1.9975485,0.0000000,2.9404110,1.3854944,1.8864331,3.3650455,2.6006183,2.7717919,2.7133187,1.3846767,2.0484058,2.9534314,3.4057167,3.2161226,3.3713806,3.3865912,2.2121957,3.3094906,2.7775112,4.2774562,2.8202246,2.8406725,3.3648166,4.4414370,3.9314698,4.1102578,4.3343076,7.2682701,3.8585110
1.3076426,1.6611149,2.5890288,1.9325733,3.3726951,1.8220322,2.9510099,1.7906067,1.9712328,1.9299321,1.1646946,2.7790115,0.6510259,3.9916524,2.0999363,2.7160423,1.2197491,2.3428685,0.8881906,2.3417900,1.7885747,1.4772580,2.9404110,0.0000000,2.1231094,1.2041904,0.5354522,0.3794199,3.1633381,0.4531561,1.6340293,1.1914061,0.4010975,0.5998052,1.4815350,0.8215242,0.8324842,1.3961051,1.6378138,1.6050360,1.6736441,1.3088470,1.5551761,1.5365503,4.5303066,2.1050862,2.1913249,2.4451821,7.9609764,3.5529522
2.5853254,1.8076593,1.4071412,1.5829936,1.4702144,0.9019839,1.9161144,0.9517585,1.7091847,1.2983019,1.6871703,1.2071938,2.2713874,2.6804223,0.5922515,1.2654369,1.2248150,0.8739074,1.7477491,0.9619017,1.4610678,0.7618982,1.3854944,2.1231094,0.0000000,1.0426092,2.4269238,1.7749003,2.1671381,1.9892612,0.9525865,1.0684003,2.2139446,2.5526588,1.9615248,2.5028943,2.5223576,1.8768384,3.0253535,2.5675268,3.4066621,2.0872558,1.9049794,2.8889264,4.4792190,2.9860622,3.3840889,3.6784564,8.1120931,3.6196017
1.8827126,1.5164288,1.6470794,1.4032426,2.4246099,1.0164937,2.0182525,0.8584562,1.2659565,1.2610395,0.8971111,1.6876705,1.3408893,2.9938094,1.1725552,1.6134026,0.5374770,1.5859582,0.8098750,1.2145342,0.9614894,0.6970617,1.8864331,1.2041904,1.0426092,0.0000000,1.6182173,0.8347282,2.2379028,1.1703122,0.5586136,0.6758546,1.3185478,1.6952510,1.6188404,1.5857042,1.6783365,1.2020578,2.0830405,1.8495908,2.5694172,1.4464352,1.5345424,2.1172504,4.0374116,2.4637185,2.7421774,3.0449558,7.9641594,3.4586747
1.3730128,1.8035438,3.0219545,2.3495293,3.5967415,2.1694420,3.4461044,2.1967426,2.4865216,2.3327086,1.6617427,3.2085880,1.0800936,4.4819354,2.4172038,3.1695797,1.6736003,2.5046615,1.4075404,2.7869470,2.3022489,1.7213322,3.3650455,0.5354522,2.4269238,1.6182173,0.0000000,0.8328711,3.4773007,0.7610338,2.0806836,1.4454401,0.6544344,0.3710113,1.3081970,0.8453564,0.7226285,1.7641973,1.9408153,1.8861531,1.4173062,1.4334960,1.5622027,1.6182015,4.8965215,1.9275984,2.0456056,2.2879905,8.1843346,3.6053855
1.4679582,1.5796574,2.3044068,1.7300465,3.0802331,1.5510955,2.6564860,1.4952547,1.7204370,1.6831276,0.9788610,2.4477421,0.7759030,3.6766421,1.7955737,2.3772133,0.9301076,2.0808738,0.7002964,1.9951965,1.4906968,1.1737844,2.6006183,0.3794199,1.7749003,0.8347282,0.8328711,0.0000000,2.8631561,0.4863976,1.2712852,0.8829397,0.5401945,0.8834310,1.3984724,0.9260675,0.9701763,1.1631448,1.6588905,1.5368445,1.8725979,1.1618782,1.3855164,1.5847864,4.3239361,2.0910865,2.2442896,2.5220317,7.9109406,3.4106955
3.3366603,2.6960416,2.4920406,3.1362398,2.7999509,2.5776028,2.7661301,2.2577319,2.5748205,3.0203064,2.7708462,2.3490214,3.2784035,3.3195428,2.5824996,2.2733604,2.5505660,2.6642634,2.7533458,2.1179880,2.4293872,2.3353597,2.7717919,3.1633381,2.1671381,2.2379028,3.4773007,2.8631561,0.0000000,3.3179703,2.2904874,2.7184660,3.3363758,3.5784112,2.9629110,3.1610148,3.4339700,3.0908316,3.6664409,3.7787242,4.0474766,3.1759310,3.1383006,3.9924216,3.2531318,3.6929210,4.2490291,4.6312237,9.6440153,4.7319214
1.5930746,1.8117251,2.4918881,1.7353838,3.2408920,1.6967720,2.8126435,1.7364848,1.9116830,1.6955336,1.1488570,2.6430888,0.7837171,3.8144091,1.9185602,2.5855160,1.1391774,2.2164846,0.9280170,2.2262417,1.7023784,1.4155734,2.7133187,0.4531561,1.9892612,1.1703122,0.7610338,0.4863976,3.3179703,0.0000000,1.4965585,0.9909978,0.3833011,0.7543265,1.5491570,1.0887533,0.9537291,1.1567310,1.6544027,1.3429831,1.8442080,1.1755998,1.4123169,1.3720477,4.6717304,2.1305284,2.1444700,2.3594256,7.5815121,3.2964380
2.3346987,1.9292197,1.3940785,1.2474260,2.3338481,1.0289523,1.5763491,0.8579224,1.0321276,1.0480553,1.0417026,1.3127963,1.6545453,2.4846235,1.0596059,1.1857801,0.7052903,1.6873001,1.0659305,0.8175388,0.6530308,1.0240335,1.3846767,1.6340293,0.9525865,0.5586136,2.0806836,1.2712852,2.2904874,1.4965585,0.0000000,0.9442774,1.6677569,2.1073220,2.0744356,2.0039646,2.0682773,1.1426355,2.1722328,1.8206350,2.9545636,1.6455696,1.7720719,2.2562428,3.9271434,2.7692434,2.9732383,3.2463846,7.6064137,3.3612946
2.0200375,1.6439014,1.9976044,1.5602750,2.3757582,1.1398047,2.4134856,1.2328682,1.7704502,1.3466720,1.2849154,1.9905392,1.5070886,3.3237462,1.1535438,1.9705235,0.9039219,1.3757519,1.1850252,1.5947937,1.4685693,0.6132256,2.0484058,1.1914061,1.0684003,0.6758546,1.4454401,0.8829397,2.7184660,0.9909978,0.9442774,0.0000000,1.2090468,1.5307081,1.2745270,1.5967452,1.5233670,1.1841773,2.2527832,1.7610156,2.4339428,1.2120127,1.1101155,1.9338682,4.5406473,2.1886323,2.4708926,2.7448929,7.7865290,3.1271649
1.6925882,2.0183782,2.7593350,2.0565622,3.5253389,2.0025633,3.0312939,1.9881009,2.0957698,2.0203498,1.3542826,2.8903587,0.8700168,4.0195151,2.2181923,2.8057664,1.3843502,2.4921794,1.0736436,2.4376694,1.8654126,1.6336281,2.9534314,0.4010975,2.2139446,1.3185478,0.6544344,0.5401945,3.3363758,0.3833011,1.6677569,1.2090468,0.0000000,0.4923305,1.5358788,0.7477328,0.6218741,1.1503058,1.4039690,1.2604430,1.4947705,1.0213341,1.3613671,1.1418632,4.4918455,1.8868739,1.8651842,2.0963447,7.6684129,3.2016136
1.6649728,2.1208690,3.1591980,2.4599326,3.8047676,2.3472678,3.4924127,2.3523705,2.5335965,2.4346494,1.7461078,3.3113685,1.1322739,4.4967503,2.5708218,3.2431751,1.7820119,2.7223048,1.4648473,2.8643960,2.3216268,1.8993017,3.4057167,0.5998052,2.5526588,1.6952510,0.3710113,0.8834310,3.5784112,0.7543265,2.1073220,1.5307081,0.4923305,0.0000000,1.4564573,0.6603053,0.4461734,1.5921075,1.6455692,1.6167002,1.1582291,1.2352751,1.4815109,1.2759359,4.7470294,1.7492305,1.7473336,1.9756550,7.9618879,3.3599826
2.1340043,1.8841630,3.0624849,2.7176773,3.0017351,2.1591367,3.5867792,2.2225867,2.8557155,2.5534419,2.2236887,3.0745162,2.0798451,4.4961704,2.1929462,3.0731159,1.9513616,1.9292786,2.0163735,2.6809793,2.5717542,1.3581537,3.2161226,1.4815350,1.9615248,1.6188404,1.3081970,1.3984724,2.9629110,1.5491570,2.0744356,1.2745270,1.5358788,1.4564573,0.0000000,1.4352039,1.3533473,2.0366396,2.7111316,2.4555722,1.9388141,1.4351764,1.0467852,2.2131814,4.8728621,1.5417980,2.1508967,2.4851863,8.7125496,3.3161335
1.8830011,2.2363720,3.1629467,2.6372616,3.8475283,2.4461148,3.4358368,2.3511077,2.4827279,2.5902366,1.8041952,3.2600563,1.3382890,4.4041618,2.6485683,3.1530665,1.8200366,2.8157243,1.4829181,2.7666634,2.2280256,1.9065854,3.3713806,0.8215242,2.5028943,1.5857042,0.8453564,0.9260675,3.1610148,1.0887533,2.0039646,1.5967452,0.7477328,0.6603053,1.4352039,0.0000000,0.4182600,1.5053424,1.4404974,1.6565583,1.0275908,1.0756593,1.4062295,1.3274945,4.1595052,1.5063178,1.6304544,1.9458789,8.1953400,3.2611113
