UT,ID,AZ,OK,MS,NC,TN,FL,NV,TX,SD,AL,CO,NM,GA,AR,IN,KY,KS,SC,MO,OR,LA,IA,WV,MT,VA,WI,CA,WA,MI,OH,NE,MN,ME,ND,HI,IL,MD,DE,NH,PA,RI,MA,AK,VT,NJ,CT,NY
2.5145865,2.4218427,1.3011786,1.6458087,3.0068134,1.3349609,1.2880325,1.0999027,0.4448421,1.5534386,1.0072087,1.4427535,1.9447796,2.4033033,1.5158269,1.3032006,0.9322453,2.4006675,1.1151129,1.0883954,0.0000000,1.7694745,1.4910846,2.0852835,1.7160927,1.1444642,2.6935725,1.7024988,2.2460741,2.2873013,0.7211573,1.7194545,2.3098148,2.7606165,2.9605158,2.3958247,2.6488924,1.8404096,2.4709019,2.9679143,3.4951865,2.3400834,2.5974249,3.3301095,4.1000704,3.5050638,3.8093807,4.3287259,4.5393313
2.0113198,1.3341048,1.8944779,2.3488495,2.0833924,1.0511781,2.6546452,1.0260384,2.0262679,2.1243130,1.6924351,1.9422487,2.2640874,3.6677165,1.0685249,2.0204948,1.1877779,0.9794849,1.6080310,1.6130302,1.7694745,0.0000000,2.2880129,1.8728715,0.8307360,0.7737371,2.1822699,1.4535360,2.8551366,2.2577873,1.2171950,1.0518923,2.2616731,2.4586269,1.4749983,1.9936325,2.2716263,2.3532339,3.2447236,3.5641055,3.0812574,2.1001529,1.8270134,3.5959602,5.4034200,2.6936336,3.5377126,4.1826820,4.5893554
3.6303373,3.2051024,1.3970642,1.9382925,2.5528272,1.7131389,1.1149261,1.7511343,1.6142790,1.6921560,2.1750494,1.1107364,3.0402115,1.6401172,1.4826055,1.0904347,1.9089459,2.3773791,2.3493936,1.2249150,1.4910846,2.2880129,0.0000000,3.1203853,1.7677889,2.0538893,3.6342212,2.7336158,2.3523788,3.0641876,1.4630668,2.2403798,3.2164779,3.6940823,3.5997170,3.5089364,3.5943271,2.4376734,3.4880315,3.4586710,4.4978625,3.0046500,3.0757064,3.9543872,4.4951451,4.1856415,4.4641888,4.9023783,4.4972380
1.5076146,2.2637425,2.9346751,2.0873394,3.8647900,1.9506717,3.2876752,2.1669097,2.2656883,2.0407218,1.2920762,3.1871632,0.7674257,4.4116444,2.2088470,3.1696721,1.3666600,2.6274190,1.0361868,2.8053257,2.0852835,1.8728715,3.1203853,0.0000000,2.5415709,1.6261894,0.6297478,0.4947995,2.1634493,0.7610039,1.9013232,1.2339090,0.5813190,0.7502486,1.9877888,1.0427907,0.8700724,1.5453113,1.8645120,2.2656313,1.7374051,1.3537657,1.6299947,2.1191925,4.4220080,2.3064682,2.3738454,2.8790689,3.9624107
2.7384633,1.8889855,1.5488137,2.4957382,1.5795891,1.1966648,2.2539027,1.0174643,1.9850698,2.2244729,2.0525765,1.3502379,2.8277201,3.0897016,0.9659428,1.4428522,1.5268256,1.0011109,2.0491567,1.0969441,1.7160927,0.8307360,1.7677889,2.5415709,0.0000000,1.0975858,2.9195635,2.0803200,3.0178388,2.8170457,1.1574061,1.5299988,2.8524793,3.1374986,2.1242377,2.6376281,2.9182141,2.5964089,3.6095804,3.8670588,3.7403216,2.5209026,2.2652830,4.0239192,5.4380934,3.1812356,4.0219303,4.6525463,4.7025984
2.0129467,1.6887137,1.7335016,2.1292747,2.5879373,1.1271810,2.2448170,0.8906417,1.4661137,1.9430723,1.2268310,1.7913027,1.9088297,3.2984519,1.2602149,1.7541817,0.7919380,1.6746801,1.0934209,1.3299608,1.1444642,0.7737371,2.0538893,1.6261894,1.0975858,0.0000000,2.1061174,1.1399179,2.5905759,2.0483887,0.6569526,1.0497302,1.9862072,2.2837749,1.8426721,1.6869968,2.0528379,1.8931547,2.6459885,3.1590031,2.8725151,1.8249467,1.8209721,3.2599202,4.7509806,2.6466398,3.3285455,3.9717114,4.3846720
1.6384771,2.4722694,3.4578825,2.5314921,4.1508389,2.3776156,3.8783618,2.6523177,2.8761928,2.4793609,1.8830691,3.7064717,1.2211319,4.9967977,2.6000828,3.7135237,1.9136642,2.8392602,1.6499301,3.3362347,2.6935725,2.1822699,3.6342212,0.6297478,2.9195635,2.1061174,0.0000000,1.0274873,2.4902019,0.9380504,2.4402428,1.5519935,0.7736763,0.4553254,1.9068775,1.1877756,0.7712518,1.9503012,2.2102489,2.4543261,1.4591859,1.5204686,1.6576138,2.1209385,4.7955090,2.1595708,2.1799681,2.6540101,3.9711837
1.5732804,2.0278266,2.5515576,1.9828319,3.4676725,1.6063052,2.9283944,1.7522540,1.9379020,1.8789717,1.0668622,2.7531465,1.0043552,4.0395077,1.8377341,2.7268910,0.9941732,2.2770654,0.7764760,2.3479389,1.7024988,1.4535360,2.7336158,0.4947995,2.0803200,1.1399179,1.0274873,0.0000000,2.1542943,1.0350244,1.4389150,0.8901492,0.8975986,1.1641710,1.7859158,0.9989464,1.0678782,1.4214959,1.9544876,2.4098488,1.9712080,1.2386001,1.4534776,2.3529452,4.4179598,2.2400044,2.5283750,3.1005658,3.9538285
3.2183362,3.6354237,2.9416833,1.2694371,4.1120751,2.2651721,2.7731868,2.7369619,2.3430471,1.1795811,1.9164582,3.0948383,1.9009212,3.5517264,2.2777993,3.0876318,2.0074991,3.1776922,2.0235220,2.9515560,2.2460741,2.8551366,2.3523788,2.1634493,3.0178388,2.5905759,2.4902019,2.1542943,0.0000000,1.5682857,2.2417946,1.9670131,1.8841842,2.3554929,3.5597878,2.9509229,2.5497796,1.3917836,2.2905531,1.5168095,3.3826574,2.2018524,2.5511453,2.0829039,3.5483557,3.6622599,3.1339179,3.2619625,3.3362849
2.0731055,2.8045328,3.1358110,1.8336060,4.0874221,2.1156536,3.3538234,2.4986835,2.4544647,1.7811201,1.5140316,3.3711828,0.8848747,4.4048118,2.2945219,3.3653811,1.6196531,2.8489706,1.3808509,3.0525769,2.2873013,2.2577873,3.0641876,0.7610039,2.8170457,2.0483887,0.9380504,1.0350244,1.5682857,0.0000000,2.1214577,1.3463085,0.4373323,0.8179037,2.4489910,1.6478488,1.1448677,1.2801088,1.7964239,1.6952311,1.9914672,1.3644072,1.7102666,1.6261812,4.1211238,2.5677969,2.2282886,2.5615216,3.5244399
2.4756741,2.2061495,1.4806611,1.8350714,2.6319046,1.1103377,1.7305254,0.9543867,1.1222262,1.6142913,1.1987603,1.4500983,2.0187496,2.7316874,1.1317965,1.3644756,0.8073541,1.8842982,1.1824679,1.0101400,0.7211573,1.2171950,1.4630668,1.9013232,1.1574061,0.6569526,2.4402428,1.4389150,2.2417946,2.1214577,0.0000000,1.1902577,2.1249465,2.5349969,2.3813320,2.0996885,2.3392381,1.6614465,2.5572779,2.9376847,3.2028412,1.9106627,2.0152225,3.1913701,4.3498229,2.9750679,3.4498005,4.0256366,4.1754103
2.1017746,2.0797443,2.3063507,1.8605977,2.8606630,1.2323719,2.7442946,1.5582427,2.0192048,1.6070960,1.3840932,2.3817496,1.6517724,3.7532172,1.2303847,2.4088150,1.0002680,1.6473817,1.2600349,2.0457390,1.7194545,1.0518923,2.2403798,1.2339090,1.5299988,1.0497302,1.5519935,0.8901492,1.9670131,1.3463085,1.1902577,0.0000000,1.4039314,1.6976146,1.6615940,1.6365010,1.5754558,1.4526686,2.4952715,2.5659288,2.4969071,1.2753378,1.1641606,2.5985165,4.6508703,2.3077142,2.7148164,3.2689377,3.7007918
2.0517758,2.8120731,3.2588218,2.1481646,4.2100854,2.2781753,3.4692434,2.5593501,2.5132466,2.0889403,1.5885157,3.4671034,0.9271723,4.5241154,2.4651655,3.4323914,1.6917432,2.9630800,1.3692957,3.0937091,2.3098148,2.2616731,3.2164779,0.5813190,2.8524793,1.9862072,0.7736763,0.8975986,1.8841842,0.4373323,2.1249465,1.4039314,0.0000000,0.5424778,2.2966597,1.2741499,0.7605652,1.2437690,1.5583349,1.7369243,1.6039631,1.1321616,1.5628369,1.5442451,4.0500321,2.2576446,1.9623308,2.3806182,3.4789632
2.0128286,2.8695402,3.6504796,2.5937395,4.4457566,2.6111735,3.9505177,2.8837479,2.9597164,2.5439879,1.9939375,3.8718731,1.2374271,5.0293668,2.8080227,3.8511620,2.0742100,3.1448568,1.7525051,3.4875170,2.7606165,2.4586269,3.6940823,0.7502486,3.1374986,2.2837749,0.4553254,1.1641710,2.3554929,0.8179037,2.5349969,1.6976146,0.5424778,0.0000000,2.1860229,1.2215293,0.5907052,1.7354063,1.8732463,2.0825033,1.2469506,1.3482208,1.6463601,1.6897217,4.4335718,2.0998158,1.8323732,2.2627628,3.6450809
2.2907479,2.0008167,3.3570770,3.4136935,3.1539427,2.4024649,4.0391961,2.4468287,3.2649277,3.2031868,2.6451054,3.3788887,2.6971238,5.0328604,2.4153587,3.4168714,2.2859045,1.9833906,2.4080112,2.9915240,2.9605158,1.4749983,3.5997170,1.9877888,2.1242377,1.8426721,1.9068775,1.7859158,3.5597878,2.4489910,2.3813320,1.6615940,2.2966597,2.1860229,0.0000000,1.6349608,1.8678607,2.7763214,3.4369510,3.7891078,2.3084348,1.9672062,1.4480636,3.4958614,5.8604253,1.6776698,2.8933447,3.6085525,4.3927742
1.9557018,2.4586405,3.3305530,2.9574956,4.0703816,2.4931207,3.6784692,2.4751370,2.6730605,2.8562110,1.9389818,3.4580528,1.6719997,4.7369893,2.6826197,3.3852504,1.8900846,2.8926130,1.5959133,2.9780367,2.3958247,1.9936325,3.5089364,1.0427907,2.6376281,1.6869968,1.1877756,0.9989464,2.9509229,1.6478488,2.0996885,1.6365010,1.2741499,1.2215293,1.6349608,0.0000000,0.7762696,1.8814417,1.9672810,2.7352536,1.2541365,1.2508924,1.4708339,2.4334375,4.5649831,1.5959815,2.1249520,2.8213956,3.9595131
2.1758223,2.8329658,3.5986723,2.8054413,4.3136275,2.6126070,3.8879768,2.7862933,2.9169381,2.7009977,2.0534257,3.7405592,1.5199771,4.9287409,2.7620636,3.6919828,2.0428370,3.0407581,1.7550247,3.3074229,2.6488924,2.2716263,3.5943271,0.8700724,2.9182141,2.0528379,0.7712518,1.0678782,2.5497796,1.1448677,2.3392381,1.5754558,0.7605652,0.5907052,1.8678607,0.7762696,0.0000000,1.6170425,1.8005981,2.2045975,0.9600984,0.9523812,1.2622988,1.7948950,4.3758175,1.5778495,1.5846739,2.1908315,3.4635780
2.9138009,3.3015660,2.9400250,1.9806575,4.0472171,2.2403789,2.8227362,2.4544104,2.1366533,1.8166884,1.6611555,2.9756012,1.6301644,3.6707022,2.2659587,2.8733166,1.6695452,3.0124599,1.5322622,2.6152536,1.8404096,2.3532339,2.4376734,1.5453113,2.5964089,1.8931547,1.9503012,1.4214959,1.3917836,1.2801088,1.6614465,1.4526686,1.2437690,1.7354063,2.7763214,1.8814417,1.6170425,0.0000000,1.3559206,1.3300590,2.3854112,1.0446007,1.6258295,1.5934388,3.2269724,2.5297773,2.1922415,2.5752335,2.8597768
3.1123813,3.8694714,3.7305386,2.7561126,5.1224163,3.1734667,3.5108152,3.2392741,2.6546572,2.7580079,2.1648280,3.8652165,1.7537014,4.3772245,3.3516826,3.7089522,2.4305030,4.0716815,1.9759636,3.4539301,2.4709019,3.2447236,3.4880315,1.8645120,3.6095804,2.6459885,2.2102489,1.9544876,2.2905531,1.7964239,2.5572779,2.4952715,1.5583349,1.8732463,3.4369510,1.9672810,1.8005981,1.3559206,0.0000000,1.4380447,2.1572601,1.7753669,2.4999460,1.5128280,2.6941569,2.8790465,2.2325966,2.5166068,3.3796759
3.6588921,4.3588436,4.0375374,2.5571854,5.2253512,3.3179001,3.7836284,3.6396027,3.1480863,2.5141038,2.5959225,4.1445054,2.1375486,4.5312646,3.3755927,4.0527482,2.7763844,4.1415665,2.5178480,3.8464051,2.9679143,3.5641055,3.4586710,2.2656313,3.8670588,3.1590031,2.4543261,2.4098488,1.5168095,1.6952311,2.9376847,2.5659288,1.7369243,2.0825033,3.7891078,2.7352536,2.2045975,1.3300590,1.4380447,0.0000000,2.6849247,1.9491915,2.5514527,0.8188312,2.7078119,3.2360865,2.1692357,2.1072671,2.5648737
2.7724604,3.5146634,4.4900160,3.7296577,5.1291875,3.5395285,4.7599303,3.6517983,3.7635586,3.6456012,2.9313358,4.6164572,2.2961773,5.7787631,3.6906277,4.5465035,2.9564851,3.8591864,2.6148988,4.1517905,3.4951865,3.0812574,4.4978625,1.7374051,3.7403216,2.8725151,1.4591859,1.9712080,3.3826574,1.9914672,3.2028412,2.4969071,1.6039631,1.2469506,2.3084348,1.2541365,0.9600984,2.3854112,2.1572601,2.6849247,0.0000000,1.6405966,1.8877391,2.0554473,4.6536450,1.4778305,1.3440832,1.9459276,3.6269230
2.7450123,3.0634590,3.3274387,2.6525795,3.9875174,2.4325281,3.4793507,2.6050713,2.6979782,2.4493586,2.0605630,3.3257176,1.8860542,4.3783287,2.4327501,3.2508193,1.9157314,2.8145732,1.8046384,2.8973719,2.3400834,2.1001529,3.0046500,1.3537657,2.5209026,1.8249467,1.5204686,1.2386001,2.2018524,1.3644072,1.9106627,1.2753378,1.1321616,1.3482208,1.9672062,1.2508924,0.9523812,1.0446007,1.7753669,1.9491915,1.6405966,0.0000000,0.7334567,1.7376478,3.9825292,1.5009020,1.5480608,2.1751372,2.8057960
2.7840546,2.8589965,3.3547635,2.8851781,3.6054919,2.3715006,3.6806983,2.5741510,2.9704586,2.6298849,2.3445857,3.3072282,2.2813639,4.5678598,2.2894804,3.2813264,2.0534300,2.4043226,2.1081238,2.9054077,2.5974249,1.8270134,3.0757064,1.6299947,2.2652830,1.8209721,1.6576138,1.4534776,2.5511453,1.7102666,2.0152225,1.1641606,1.5628369,1.6463601,1.4480636,1.4708339,1.2622988,1.6258295,2.4999460,2.5514527,1.8877391,0.7334567,0.0000000,2.3023532,4.6580357,1.2678982,1.8324722,2.4920167,2.9963345
3.5588833,4.3372654,4.4148793,3.0152622,5.4135784,3.5491924,4.3153955,3.8626081,3.5506413,2.9541304,2.8402478,4.5266766,2.1957095,5.1467591,3.6207770,4.4451284,2.9823880,4.2172543,2.6799232,4.1740561,3.3301095,3.5959602,3.9543872,2.1191925,4.0239192,3.2599202,2.1209385,2.3529452,2.0829039,1.6261812,3.1913701,2.5985165,1.5442451,1.6897217,3.4958614,2.4334375,1.7948950,1.5934388,1.5128280,0.8188312,2.0554473,1.7376478,2.3023532,0.0000000,3.2164164,2.7410360,1.4715120,1.3650764,2.4560178
5.6249918,6.2201077,5.2331235,4.2929237,6.8345686,5.0978490,4.4624378,5.1482331,4.2053735,4.3072839,4.2490096,5.2215369,4.1420837,4.6972894,5.1499243,4.9997594,4.5006356,6.0772435,4.2142242,4.9532543,4.1000704,5.4034200,4.4951451,4.4220080,5.4380934,4.7509806,4.7955090,4.4179598,3.5483557,4.1211238,4.3498229,4.6508703,4.0500321,4.4335718,5.8604253,4.5649831,4.3758175,3.2269724,2.6941569,2.7078119,4.6536450,3.9825292,4.6580357,3.2164164,0.0000000,5.0859101,4.1474236,4.0642127,3.7883183
3.3067928,3.4742477,4.3475556,4.0193669,4.4989528,3.4434038,4.6796924,3.4961584,3.8827983,3.8068774,3.2541633,4.2861165,3.0248085,5.5577052,3.4200623,4.2209778,3.0350235,3.3517142,2.9442761,3.8189442,3.5050638,2.6936336,4.1856415,2.3064682,3.1812356,2.6466398,2.1595708,2.2400044,3.6622599,2.5677969,2.9750679,2.3077142,2.2576446,2.0998158,1.6776698,1.5959815,1.5778495,2.5297773,2.8790465,3.2360865,1.4778305,1.5009020,1.2678982,2.7410360,5.0859101,0.0000000,1.6053338,2.3874399,3.2868477
