Country Name,GDP per capita,AvgLifeExp,logGDP,Inequity,EducSpending,PovertyRate,DummyVar
Seychelles,28900,74.22682927,4.460897843,38.7,3.6,0.393,34.04318703
Syrian Arab Republic,2900,74.71578049,3.462397998,29.5,5.1,0.825,24.34967881
Chad,2300,51.15907317,3.361727836,43.3,2.3,0.467,33.64893016
Togo,1700,56.4885122,3.230448921,46,4.5,0.551,29.38360359
Thailand,17900,74.36507317,4.252853031,44.5,5.8,0.072,42.30580335
Tajikistan,3200,67.37460976,3.505149978,32.6,3.9,0.315,30.38096719
Turkmenistan,18100,65.46258537,4.257678575,40.8,2.9,0.002,37.29188921
Timor-Leste,5400,67.52236585,3.73239376,31.9,9.4,0.418,28.94937932
Tonga,5600,72.64231707,3.748188027,46,3.9,0.225,35.411352
Trinidad and Tobago,31400,69.92521951,4.496929648,46,3.2,0.2,44.44771985
Tunisia,11800,73.64634146,4.071882007,40,6.2,0.155,35.36767192
Turkey,26900,75.17595122,4.42975228,40.2,2.9,0.219,38.10490608
Tanzania,3200,61.49314634,3.505149978,37.6,6.2,0.228,24.5948677
Uganda,2400,59.19,3.380211242,39.5,3.3,0.214,34.52861554
Ukraine,8700,71.1595122,3.939519253,25.5,6.2,0.038,23.32182096
Uruguay,22400,77.05141463,4.350248018,41.6,4.5,0.097,33.8549099
United States,59500,78.84146341,4.774516966,45,5.4,0.151,33.64428646
Uzbekistan,6900,68.22758537,3.838849091,36.8,4.5,0.14,24.71190042
St. Vincent and the Grenadines,12800,72.50097561,4.10720997,39.2,1.7,0.067,32.34842507
"Venezuela, RB",12100,74.64309756,4.08278537,39,6.9,0.197,30.41817825
Virgin Islands (U.S.),37000,79.62439024,4.568201724,34.8,6.3,0.289,33.83761723
Vietnam,6900,75.7564878,3.838849091,34.8,6.3,0.08,26.22279885
Vanuatu,2700,71.68682927,3.431363764,36.8,5,0.14,26.41889216
West Bank and Gaza,4300,73.20334146,3.633468456,34.5,6.3,0.18,29.83322539
Samoa,5700,73.26487805,3.755874856,50.4,5.8,0.391,35.83914453
"Yemen, Rep.",1300,63.08958537,3.113943352,37.9,5.2,0.54,26.17344192
South Africa,13500,56.73658537,4.130333768,62.5,6,0.166,48.92461088
"Congo, Dem. Rep.",1600,49.94385366,3.204119983,55.9,7.6,0.448,37.16285314
Zambia,4000,58.09278049,3.602059991,57.5,1.3,0.544,57.06465896
Zimbabwe,2300,59.7734878,3.361727836,43.2,2.5,0.723,31.72829193
